reviewer_name,show_title,season_num,review_score
IGN,Wild Horizon Future,1,9
Letterboxd,Wild Horizon Future,1,3
Critic Circle,Wild Horizon Future,2,4
IGN,Wild Horizon Future,2,5
Rotten Tomatoes,Wild Horizon Future,2,30
Letterboxd,Wild Horizon Future,2,3
Metacritic,Wild Horizon Future,2,28
FilmAffinity,Wild Horizon Future,2,0
Roger Ebert,Wild Horizon Future,2,0
CinemaScore,Wild Horizon Future,2,74
FilmAffinity,Wild Horizon Future,3,8
Roger Ebert,Wild Horizon Future,3,2
Rotten Tomatoes,Wild Horizon Future,3,87
IGN,Wild Horizon Future,3,7
CinemaScore,Wild Horizon Future,3,79
Critic Circle,Wild Horizon Future,3,0
Metacritic,Wild Horizon Future,3,46
IMDb,Wild Horizon Future,3,3
CinemaScore,Shadow Golden Eternal,1,60
Metacritic,Shadow Golden Eternal,1,22
Critic Circle,Legends Whispers,1,5
Audience Choice,Legends Whispers,2,736
FilmAffinity,Legends Whispers,2,8
Roger Ebert,Legends Whispers,2,0
Rotten Tomatoes,Legends Whispers,2,71
Metacritic,Legends Whispers,2,65
FilmAffinity,Legends Whispers,3,0
Rotten Tomatoes,Legends Whispers,3,96
Metacritic,Legends Whispers,3,99
IMDb,Legends Whispers,3,0
Critic Circle,Legends Whispers,3,5
Letterboxd,Legends Whispers,4,1
Audience Choice,Legends Whispers,4,471
CinemaScore,Legends Whispers,4,76
IMDb,Legends Whispers,4,5
Metacritic,Legends Whispers,4,39
IGN,Legends Whispers,4,0
Rotten Tomatoes,Legends Whispers,4,73
Roger Ebert,Legends Whispers,4,2
Letterboxd,Voyager Horizon Whispers,1,5
IGN,Voyager Horizon Whispers,1,7
Critic Circle,Voyager Horizon Whispers,1,4
Rotten Tomatoes,Voyager Horizon Whispers,1,83
Roger Ebert,Voyager Horizon Whispers,1,2
IMDb,Voyager Horizon Whispers,1,8
Audience Choice,Voyager Horizon Whispers,1,177
CinemaScore,Voyager Horizon Whispers,1,62
FilmAffinity,Voyager Horizon Whispers,1,10
Audience Choice,Voyager Horizon Whispers,2,56
IMDb,Voyager Horizon Whispers,2,5
Rotten Tomatoes,Voyager Horizon Whispers,2,28
Metacritic,Voyager Horizon Whispers,2,74
Rotten Tomatoes,Voyager Horizon Whispers,3,72
Audience Choice,Voyager Horizon Whispers,3,978
Metacritic,Voyager Horizon Whispers,3,70
IMDb,Voyager Horizon Whispers,3,2
CinemaScore,Voyager Horizon Whispers,3,97
Critic Circle,Voyager Horizon Whispers,3,5
FilmAffinity,Voyager Horizon Whispers,3,0
Letterboxd,Voyager Horizon Whispers,3,3
Roger Ebert,Voyager Horizon Whispers,3,1
IMDb,Future Crimson,2,0
Critic Circle,Future Crimson,2,1
IGN,Future Crimson,3,3
Letterboxd,Echo Magic Fury,1,3
IGN,Echo Magic Fury,1,10
Rotten Tomatoes,Echo Magic Fury,1,75
Roger Ebert,Echo Magic Fury,1,4
CinemaScore,Echo Magic Fury,1,54
Critic Circle,Echo Magic Fury,1,5
Audience Choice,Echo Magic Fury,1,470
IMDb,Echo Magic Fury,1,4
Metacritic,Crystal Midnight,1,0
Roger Ebert,Crystal Midnight,1,2
Critic Circle,Crystal Midnight,1,3
IGN,Crystal Midnight,1,3
Rotten Tomatoes,Crystal Midnight,1,99
Audience Choice,Crystal Midnight,1,804
IMDb,River Future Eclipse,1,9
Rotten Tomatoes,River Future Eclipse,1,87
Letterboxd,River Future Eclipse,1,5
Audience Choice,River Future Eclipse,1,826
FilmAffinity,River Future Eclipse,1,6
IGN,River Future Eclipse,1,5
IGN,River Future Eclipse,2,5
Metacritic,River Future Eclipse,2,5
CinemaScore,River Future Eclipse,2,31
IGN,River Future Eclipse,3,2
IMDb,River Future Eclipse,3,5
Critic Circle,River Future Eclipse,3,2
Roger Ebert,River Future Eclipse,3,3
CinemaScore,River Future Eclipse,3,47
Audience Choice,River Future Eclipse,3,107
Letterboxd,River Future Eclipse,3,1
Roger Ebert,Voyager Star Broken,1,2
Audience Choice,Voyager Star Broken,1,23
Letterboxd,Voyager Star Broken,2,5
IGN,Voyager Star Broken,2,6
Rotten Tomatoes,Voyager Star Broken,2,93
Audience Choice,Voyager Star Broken,2,339
Critic Circle,Voyager Star Broken,2,3
FilmAffinity,Voyager Star Broken,2,9
Metacritic,Voyager Star Broken,2,96
IMDb,Voyager Star Broken,2,7
Roger Ebert,Voyager Star Broken,3,2
IMDb,Voyager Star Broken,3,4
Critic Circle,Voyager Star Broken,3,3
CinemaScore,Voyager Star Broken,3,61
Metacritic,Fading Sky Crimson,1,3
Letterboxd,Fading Sky Crimson,1,5
CinemaScore,Fading Sky Crimson,1,43
Critic Circle,Fading Sky Crimson,1,0
IMDb,Fading Sky Crimson,1,0
Letterboxd,Fading Sky Crimson,2,3
Roger Ebert,Fading Sky Crimson,2,4
IGN,Fading Sky Crimson,2,1
FilmAffinity,Fading Sky Crimson,2,10
IMDb,Fading Sky Crimson,2,5
Critic Circle,Fading Sky Crimson,2,5
Metacritic,Fading Sky Crimson,2,0
Audience Choice,Fading Sky Crimson,2,449
Rotten Tomatoes,Fading Sky Crimson,2,58
Critic Circle,Whispers Storm,1,1
IMDb,Whispers Storm,1,1
Letterboxd,Whispers Storm,1,4
IGN,Whispers Storm,1,9
Rotten Tomatoes,Whispers Storm,1,32
Metacritic,Whispers Storm,1,93
FilmAffinity,Whispers Storm,1,4
Roger Ebert,Whispers Storm,1,4
Audience Choice,Whispers Storm,1,517
FilmAffinity,Whispers Storm,2,1
Critic Circle,Whispers Storm,2,3
Roger Ebert,Whispers Storm,2,1
Metacritic,Whispers Storm,2,59
CinemaScore,Whispers Storm,2,15
IGN,Whispers Storm,2,2
Rotten Tomatoes,Whispers Storm,2,10
IMDb,Whispers Storm,3,0
CinemaScore,Whispers Storm,3,100
Rotten Tomatoes,Whispers Storm,3,35
Metacritic,Fury Phantom Eternal,1,34
IGN,Fury Phantom Eternal,1,10
FilmAffinity,Fury Phantom Eternal,1,0
Rotten Tomatoes,Fury Phantom Eternal,2,5
Critic Circle,Fury Phantom Eternal,3,5
Letterboxd,Fury Phantom Eternal,3,1
Roger Ebert,Fury Phantom Eternal,3,1
FilmAffinity,Golden Fury Dreams,1,2
Roger Ebert,Golden Fury Dreams,1,0
Critic Circle,Golden Fury Dreams,2,0
IGN,Golden Fury Dreams,2,10
Rotten Tomatoes,Golden Fury Dreams,2,64
Letterboxd,Golden Fury Dreams,2,0
CinemaScore,Golden Fury Dreams,2,94
Audience Choice,Golden Fury Dreams,2,102
IMDb,Golden Fury Dreams,2,5
IMDb,Golden Fury Dreams,3,0
FilmAffinity,Golden Fury Dreams,3,10
Roger Ebert,Golden Fury Dreams,3,3
Audience Choice,Golden Fury Dreams,3,221
Critic Circle,Golden Fury Dreams,3,1
Letterboxd,Golden Fury Dreams,3,1
Rotten Tomatoes,Golden Fury Dreams,3,6
CinemaScore,Golden Fury Dreams,3,94
Rotten Tomatoes,Eternal Secret,1,60
IGN,Eternal Secret,1,0
Metacritic,Eternal Secret,1,29
Rotten Tomatoes,Eternal Secret,2,54
CinemaScore,Eternal Secret,2,54
Metacritic,Eternal Secret,2,43
Roger Ebert,Eternal Secret,2,1
IGN,Eternal Secret,2,2
Audience Choice,Eternal Secret,2,420
FilmAffinity,Hidden Nightfall Broken,1,9
IGN,Hidden Nightfall Broken,1,10
Rotten Tomatoes,Hidden Nightfall Broken,1,22
Metacritic,Hidden Nightfall Broken,1,13
Roger Ebert,Hidden Nightfall Broken,2,0
Audience Choice,Hidden Nightfall Broken,2,934
FilmAffinity,Hidden Nightfall Broken,2,1
IMDb,Hidden Nightfall Broken,2,5
CinemaScore,Hidden Nightfall Broken,2,36
Letterboxd,Future Voyager Past,1,4
IMDb,Future Voyager Past,1,0
FilmAffinity,Future Voyager Past,1,3
Audience Choice,Future Voyager Past,1,603
Roger Ebert,Future Voyager Past,1,0
CinemaScore,Wild Eternal,1,18
Critic Circle,Wild Eternal,1,4
FilmAffinity,Wild Eternal,1,1
Metacritic,Wild Eternal,1,56
Letterboxd,Wild Eternal,1,3
CinemaScore,Silent Phantom,1,27
IGN,Shadow Hidden,1,3
Rotten Tomatoes,Shadow Hidden,1,31
FilmAffinity,Future Legends Broken,1,5
Letterboxd,Future Legends Broken,1,3
IGN,Future Legends Broken,1,8
Roger Ebert,Future Legends Broken,1,4
CinemaScore,Future Legends Broken,2,85
IGN,Future Legends Broken,2,6
Critic Circle,Future Legends Broken,2,5
Roger Ebert,Wild Rising River,1,1
Metacritic,Wild Rising River,1,46
FilmAffinity,Wild Rising River,1,8
IGN,Wild Rising River,2,10
CinemaScore,Wild Rising River,2,76
Rotten Tomatoes,Wild Rising River,3,81
IMDb,Wild Rising River,3,10
Critic Circle,Wild Rising River,3,1
FilmAffinity,Wild Rising River,3,5
CinemaScore,Wild Rising River,3,48
IGN,Wild Rising River,3,6
Metacritic,Wild Rising River,3,31
Roger Ebert,Wild Rising River,3,3
Roger Ebert,Wild Rising River,4,1
CinemaScore,Wild Rising River,4,16
Rotten Tomatoes,Wild Rising River,4,74
FilmAffinity,Wild Rising River,4,3
IGN,Silver Legends Dreams,1,8
Rotten Tomatoes,Silver Legends Dreams,1,17
FilmAffinity,Silver Legends Dreams,2,1
Critic Circle,Past Horizon Future,1,2
CinemaScore,Past Horizon Future,1,19
Rotten Tomatoes,Past Horizon Future,1,86
Roger Ebert,Past Horizon Future,1,1
IGN,Past Horizon Future,1,0
Metacritic,Past Horizon Future,1,34
Metacritic,Past Horizon Future,2,15
IMDb,Past Storm,1,10
CinemaScore,Past Storm,1,81
Metacritic,Past Storm,1,97
IGN,Past Storm,1,6
FilmAffinity,Past Storm,1,10
Audience Choice,Past Storm,1,99
Rotten Tomatoes,Past Storm,1,38
IGN,Past Storm,2,0
Roger Ebert,Past Storm,2,2
Critic Circle,Past Storm,2,2
Letterboxd,Past Storm,2,5
CinemaScore,Past Storm,2,43
FilmAffinity,Past Storm,3,3
IMDb,Past Storm,3,5
Roger Ebert,Past Horizon Storm,1,1
Metacritic,Past Horizon Storm,1,77
Critic Circle,Past Horizon Storm,1,1
Letterboxd,Past Horizon Storm,1,1
Audience Choice,Past Horizon Storm,1,193
FilmAffinity,Past Horizon Storm,1,5
IGN,Past Horizon Storm,1,4
Rotten Tomatoes,Past Horizon Storm,1,39
FilmAffinity,Midnight Kingdom Eclipse,1,8
Roger Ebert,Midnight Kingdom Eclipse,2,1
Audience Choice,Midnight Kingdom Eclipse,2,968
IGN,Midnight Kingdom Eclipse,2,7
Critic Circle,Midnight Kingdom Eclipse,2,4
Letterboxd,Midnight Kingdom Eclipse,2,0
IGN,Midnight Kingdom Eclipse,3,4
IMDb,Midnight Kingdom Eclipse,3,0
Audience Choice,Future Wild Ancient,1,227
Rotten Tomatoes,Future Wild Ancient,1,74
Metacritic,Future Wild Ancient,2,42
Letterboxd,Future Wild Ancient,2,0
Rotten Tomatoes,Future Wild Ancient,2,58
Audience Choice,Future Wild Ancient,2,405
CinemaScore,Future Wild Ancient,2,0
Critic Circle,Future Wild Ancient,2,3
FilmAffinity,Future Wild Ancient,2,6
Roger Ebert,Future Wild Ancient,2,2
Metacritic,Midnight Crimson River,1,7
Roger Ebert,Midnight Crimson River,1,2
Rotten Tomatoes,Midnight Crimson River,1,42
CinemaScore,Midnight Crimson River,1,92
Letterboxd,Midnight Crimson River,1,4
FilmAffinity,Midnight Crimson River,1,9
IGN,Midnight Crimson River,1,1
Audience Choice,Midnight Crimson River,2,65
CinemaScore,Midnight Crimson River,2,55
IGN,Midnight Crimson River,2,0
IMDb,Midnight Crimson River,2,2
Roger Ebert,Midnight Crimson River,2,4
Rotten Tomatoes,Nightfall Whispers Legends,1,12
Audience Choice,Nightfall Whispers Legends,1,261
Roger Ebert,Nightfall Whispers Legends,1,0
Letterboxd,Nightfall Whispers Legends,1,2
Metacritic,Nightfall Whispers Legends,1,35
FilmAffinity,Nightfall Whispers Legends,1,8
Letterboxd,Nightfall Whispers Legends,2,3
Roger Ebert,Nightfall Whispers Legends,2,2
Audience Choice,Nightfall Whispers Legends,2,250
IGN,Nightfall Whispers Legends,2,3
CinemaScore,Nightfall Whispers Legends,2,24
Letterboxd,Nightfall Whispers Legends,3,4
CinemaScore,Nightfall Whispers Legends,3,76
IGN,Nightfall Whispers Legends,3,7
Metacritic,Nightfall Whispers Legends,3,71
Roger Ebert,Nightfall Whispers Legends,3,4
Critic Circle,Nightfall Whispers Legends,3,1
Letterboxd,Storm Future Kingdom,1,4
Roger Ebert,Storm Future Kingdom,1,1
Audience Choice,Storm Future Kingdom,1,291
IGN,Storm Future Kingdom,1,9
Rotten Tomatoes,Storm Future Kingdom,1,59
Metacritic,Storm Future Kingdom,1,52
FilmAffinity,Storm Future Kingdom,1,1
Roger Ebert,Storm Future Kingdom,2,2
Rotten Tomatoes,Storm Future Kingdom,2,26
IGN,Storm Future Kingdom,2,5
Audience Choice,Storm Future Kingdom,2,252
Critic Circle,Storm Future Kingdom,2,2
Metacritic,Storm Future Kingdom,3,13
Critic Circle,Eclipse Whispers,1,0
IMDb,Eclipse Whispers,1,3
CinemaScore,Eclipse Whispers,1,14
Metacritic,Eclipse Whispers,1,35
CinemaScore,Eclipse Whispers,2,69
Critic Circle,Eclipse Whispers,2,3
IMDb,Eclipse Whispers,2,7
Metacritic,Storm Horizon Legends,1,68
CinemaScore,Storm Horizon Legends,1,95
Audience Choice,Storm Horizon Legends,1,78
Critic Circle,Storm Horizon Legends,1,0
Rotten Tomatoes,Storm Horizon Legends,2,12
IMDb,Storm Horizon Legends,2,1
Metacritic,Storm Horizon Legends,2,18
Letterboxd,Storm Horizon Legends,2,4
FilmAffinity,Storm Horizon Legends,2,5
IGN,Storm Horizon Legends,2,6
Roger Ebert,Storm Horizon Legends,2,4
Critic Circle,Storm Horizon Legends,2,3
CinemaScore,Storm Horizon Legends,2,16
FilmAffinity,Star Storm,2,0
Audience Choice,Star Storm,2,45
IGN,Star Storm,2,7
IMDb,Star Storm,3,9
Audience Choice,Star Storm,3,831
CinemaScore,Star Storm,3,16
Roger Ebert,Star Storm,3,2
Metacritic,Star Storm,3,45
CinemaScore,Golden Neon,1,91
IGN,Golden Neon,1,1
Roger Ebert,Golden Neon,2,3
FilmAffinity,Golden Neon,3,9
Rotten Tomatoes,Golden Neon,3,93
Metacritic,Golden Neon,3,99
IMDb,Golden Neon,3,0
Roger Ebert,Golden Neon,3,1
Metacritic,Golden Neon,4,77
Rotten Tomatoes,Ancient Magic,1,11
Letterboxd,Ancient Magic,1,1
IGN,Ancient Magic,2,9
Roger Ebert,Ancient Magic,2,1
Audience Choice,Ancient Magic,2,443
FilmAffinity,Ancient Magic,2,0
Metacritic,Ancient Magic,2,73
Rotten Tomatoes,Ancient Magic,2,56
Critic Circle,Ancient Magic,2,5
Audience Choice,Ancient Magic,3,535
Roger Ebert,Ancient Magic,3,2
CinemaScore,Ancient Magic,4,82
Audience Choice,Ancient Magic,4,887
Letterboxd,Ancient Magic,4,1
CinemaScore,Eclipse Crimson,1,16
Critic Circle,Eclipse Crimson,1,4
IGN,Eclipse Crimson,1,3
Audience Choice,Eclipse Crimson,1,47
Metacritic,Eclipse Crimson,1,75
CinemaScore,Hidden Fury,1,59
Critic Circle,Hidden Fury,2,3
IMDb,Hidden Fury,2,10
FilmAffinity,Hidden Fury,2,6
IGN,Hidden Fury,2,1
Roger Ebert,Hidden Fury,3,3
IMDb,Hidden Fury,3,7
CinemaScore,Hidden Fury,3,38
Letterboxd,Hidden Fury,3,0
IGN,Hidden Fury,3,2
Critic Circle,Hidden Fury,3,5
Rotten Tomatoes,Hidden Fury,3,92
Metacritic,Hidden Fury,3,8
CinemaScore,Hidden Fury,4,59
Audience Choice,Hidden Fury,4,728
FilmAffinity,Hidden Fury,4,10
Roger Ebert,Hidden Fury,4,3
Rotten Tomatoes,Hidden Fury,4,38
IGN,Hidden Fury,4,1
CinemaScore,Storm Sky,1,98
Audience Choice,Storm Sky,1,434
Critic Circle,Storm Sky,3,4
Audience Choice,Storm Sky,3,549
IMDb,Storm Sky,3,2
Letterboxd,Storm Sky,3,4
IGN,Storm Sky,3,7
Roger Ebert,Storm Sky,3,0
CinemaScore,Storm Sky,3,81
Metacritic,Storm Sky,3,34
Rotten Tomatoes,Storm Sky,3,27
CinemaScore,Rising Silent,1,45
Rotten Tomatoes,Rising Silent,1,55
Letterboxd,Rising Silent,1,4
Critic Circle,Rising Silent,1,3
IMDb,Rising Silent,1,10
Audience Choice,Rising Silent,1,296
Critic Circle,Rising Silent,2,3
Metacritic,Rising Silent,2,44
Roger Ebert,Rising Silent,2,4
CinemaScore,Rising Silent,2,32
IGN,Rising Silent,2,3
Critic Circle,Rising Silent,3,2
CinemaScore,Rising Silent,3,34
Roger Ebert,Rising Silent,3,1
Metacritic,Rising Silent,3,65
FilmAffinity,Rising Silent,3,5
IMDb,Rising Silent,3,0
Rotten Tomatoes,Rising Silent,3,72
Rotten Tomatoes,Shadow Kingdom Broken,1,90
Metacritic,Shadow Kingdom Broken,1,46
FilmAffinity,Shadow Kingdom Broken,1,8
Critic Circle,Dreams Legends Star,1,3
Metacritic,Dreams Legends Star,1,11
Rotten Tomatoes,Dreams Legends Star,1,29
Letterboxd,Dreams Legends Star,1,2
Roger Ebert,Dreams Legends Star,1,2
Audience Choice,Dreams Legends Star,1,122
IMDb,Dreams Legends Star,1,10
Audience Choice,Dreams Legends Star,2,897
Letterboxd,Dreams Legends Star,2,2
IGN,Dreams Legends Star,2,5
FilmAffinity,Dreams Legends Star,2,8
Metacritic,Dreams Legends Star,2,33
CinemaScore,Dreams Legends Star,2,54
FilmAffinity,Dreams Legends Star,3,2
Roger Ebert,Dreams Legends Star,3,2
Critic Circle,Dreams Legends Star,3,0
IMDb,Broken Hidden Neon,1,3
IGN,Broken Hidden Neon,1,7
CinemaScore,Broken Hidden Neon,1,78
Rotten Tomatoes,Broken Hidden Neon,1,7
Letterboxd,Broken Hidden Neon,1,0
Roger Ebert,Broken Hidden Neon,1,3
Rotten Tomatoes,Golden Eternal,1,8
Critic Circle,Golden Eternal,1,4
Metacritic,Golden Eternal,1,77
CinemaScore,Golden Eternal,1,92
Roger Ebert,Golden Eternal,1,3
Roger Ebert,Golden Eternal,2,2
IMDb,Golden Eternal,2,3
FilmAffinity,Golden Eternal,2,4
Metacritic,Golden Eternal,2,88
Critic Circle,Golden Eternal,2,2
IGN,Golden Eternal,2,8
CinemaScore,Golden Eternal,2,3
FilmAffinity,Golden Eternal,3,4
Critic Circle,Golden Eternal,3,0
Rotten Tomatoes,Golden Eternal,3,89
IGN,Golden Eternal,3,4
Audience Choice,Golden Eternal,3,823
CinemaScore,Golden Eternal,3,70
Letterboxd,Golden Eternal,3,4
Metacritic,Golden Eternal,3,56
CinemaScore,Golden Eternal,4,31
Rotten Tomatoes,Golden Eternal,4,88
Critic Circle,Storm Legends Hidden,1,1
IGN,Storm Legends Hidden,1,4
Audience Choice,Storm Legends Hidden,1,885
FilmAffinity,Storm Legends Hidden,1,3
CinemaScore,Storm Legends Hidden,1,75
Rotten Tomatoes,Storm Legends Hidden,1,55
Letterboxd,Storm Legends Hidden,1,4
Roger Ebert,Storm Legends Hidden,1,1
CinemaScore,Dreams Hidden,1,17
FilmAffinity,Dreams Hidden,2,0
Rotten Tomatoes,Dreams Hidden,2,96
CinemaScore,Dreams Hidden,2,67
Letterboxd,Dreams Hidden,3,1
IGN,Dreams Hidden,3,6
Metacritic,Dreams Hidden,3,84
Rotten Tomatoes,Dreams Hidden,3,96
IMDb,Dreams Hidden,3,6
Letterboxd,Rising Hidden Neon,1,5
IMDb,Rising Hidden Neon,1,10
CinemaScore,Rising Hidden Neon,1,74
IGN,Rising Hidden Neon,1,4
Roger Ebert,Rising Hidden Neon,1,3
Critic Circle,Rising Hidden Neon,1,3
Rotten Tomatoes,Rising Hidden Neon,1,18
Audience Choice,Rising Hidden Neon,1,190
Metacritic,Rising Hidden Neon,1,80
Letterboxd,Rising Hidden Neon,2,2
Critic Circle,Rising Hidden Neon,2,3
CinemaScore,Rising Hidden Neon,2,68
Audience Choice,Rising Hidden Neon,2,356
Metacritic,Rising Hidden Neon,2,16
IMDb,Rising Hidden Neon,2,5
IGN,Rising Hidden Neon,2,2
FilmAffinity,Rising Hidden Neon,2,7
Roger Ebert,Rising Hidden Neon,2,3
CinemaScore,Rising Hidden Neon,3,26
Rotten Tomatoes,Rising Hidden Neon,3,92
IMDb,Rising Hidden Neon,3,3
Letterboxd,Rising Hidden Neon,3,2
FilmAffinity,Rising Hidden Neon,3,1
Letterboxd,Golden Star Past,1,1
IMDb,Golden Star Past,1,1
Critic Circle,Golden Star Past,1,0
Metacritic,Midnight Whispers Phantom,2,68
IMDb,Midnight Whispers Phantom,2,3
Critic Circle,Midnight Whispers Phantom,2,3
CinemaScore,Midnight Whispers Phantom,2,12
Rotten Tomatoes,Midnight Whispers Phantom,2,31
Roger Ebert,Midnight Whispers Phantom,2,4
Letterboxd,Midnight Whispers Phantom,2,5
Metacritic,Midnight Whispers Phantom,3,95
FilmAffinity,Midnight Whispers Phantom,3,3
Metacritic,Fury Eternal,1,84
Roger Ebert,Fury Eternal,1,0
Critic Circle,Fury Eternal,1,0
CinemaScore,Fury Eternal,1,81
FilmAffinity,Fury Eternal,1,2
IGN,Fury Eternal,1,3
IMDb,Fury Eternal,1,7
CinemaScore,Fury Eternal,2,52
IGN,Fury Eternal,2,4
CinemaScore,Fury Eternal,3,42
FilmAffinity,Fury Eternal,3,4
Rotten Tomatoes,Fury Eternal,3,93
FilmAffinity,Echo Golden Crystal,1,9
Roger Ebert,Echo Golden Crystal,1,0
Audience Choice,Echo Golden Crystal,1,157
IMDb,Echo Golden Crystal,1,5
Letterboxd,Echo Golden Crystal,1,3
Letterboxd,Echo Golden Crystal,2,0
CinemaScore,Echo Golden Crystal,2,60
IGN,Echo Golden Crystal,2,10
Audience Choice,Echo Golden Crystal,2,535
Metacritic,Echo Golden Crystal,2,73
Critic Circle,Echo Golden Crystal,2,0
Rotten Tomatoes,Echo Golden Crystal,2,99
Roger Ebert,Echo Golden Crystal,2,1
IMDb,Echo Golden Crystal,2,4
Letterboxd,Echo Golden Crystal,3,3
Metacritic,Echo Golden Crystal,3,23
Rotten Tomatoes,Echo Golden Crystal,3,75
IGN,Echo Golden Crystal,3,4
Audience Choice,Echo Golden Crystal,3,753
IGN,Ancient Hidden,1,2
Audience Choice,Ancient Hidden,1,157
Metacritic,Ancient Hidden,1,70
CinemaScore,Ancient Hidden,1,94
Rotten Tomatoes,Dreams Silver River,1,36
Roger Ebert,Dreams Silver River,1,3
Metacritic,Dreams Silver River,1,81
IGN,Dreams Silver River,1,10
IMDb,Dreams Silver River,1,1
Audience Choice,Dreams Silver River,1,715
Letterboxd,Dreams Silver River,1,2
CinemaScore,Dreams Silver River,1,6
Critic Circle,Dreams Silver River,1,2
IMDb,Dreams Silver River,3,0
Rotten Tomatoes,Golden Crystal,1,23
IGN,Golden Crystal,1,4
Letterboxd,Voyager Storm Crimson,1,5
FilmAffinity,Voyager Storm Crimson,1,2
Audience Choice,Voyager Storm Crimson,1,359
IMDb,Voyager Storm Crimson,1,2
Metacritic,Voyager Storm Crimson,1,10
Roger Ebert,Voyager Storm Crimson,1,2
IGN,Voyager Storm Crimson,1,9
Audience Choice,Voyager Storm Crimson,2,781
CinemaScore,Voyager Storm Crimson,2,83
FilmAffinity,Voyager Storm Crimson,2,0
Critic Circle,Voyager Storm Crimson,2,0
Roger Ebert,Voyager Storm Crimson,2,0
Letterboxd,Voyager Storm Crimson,2,1
