stage_name,show_title,season_num,ep_num
Sophia Lopez Garcia,Fury Ancient,1,1
James Anderson,Fury Ancient,1,1
James Wilson Jr,Fury Ancient,1,1
Olivia Brown,Fury Ancient,1,2
Quantum Reef,Fury Ancient,1,2
Rapid Lion,Fury Ancient,1,2
Cinder Rocket,Fury Ancient,1,2
Logan Garcia,Fury Ancient,1,3
Amelia Thomas,Fury Ancient,1,4
Lucky Token,Fury Ancient,1,5
Swift Rider,Fury Ancient,1,5
Rapid Lion,Fury Ancient,1,5
Logan Anderson,Fury Ancient,1,6
Onyx Pilot,Fury Ancient,1,6
Emma Garcia,Fury Ancient,1,7
Golden Star,Fury Ancient,1,8
Midnight Rider,Fury Ancient,1,9
Dynamic Lion,Fury Ancient,1,10
Olivia Jones,Fury Ancient,1,10
Sophia Lopez Garcia,Fury Ancient,1,10
Wild Voyager,Fury Ancient,2,1
Emma Jackson,Fury Ancient,2,1
Liam Smith,Fury Ancient,2,1
Logan Jackson,Fury Ancient,2,2
Atomic Hawk,Fury Ancient,2,2
Mason Jackson,Fury Ancient,2,2
Amelia Garcia Jr,Fury Ancient,2,2
Luna Anderson Jr,Fury Ancient,2,3
Rapid Spark,Fury Ancient,2,3
Olivia Williams White,Fury Ancient,2,3
Urban Trace,Fury Ancient,2,4
Jack Martin Smith,Fury Ancient,2,4
Wild Brook,Fury Ancient,2,4
Liam Davis Jr,Fury Ancient,2,5
Liam Taylor Jr,Fury Ancient,2,5
Ivory Pulse,Fury Ancient,2,5
Amelia Hernandez,Fury Ancient,2,6
Cinder Spark,Fury Ancient,2,6
Ethan Anderson,Fury Ancient,2,6
John Anderson,Fury Ancient,2,6
Mia Taylor,Fury Ancient,2,7
Harper Jackson,Fury Ancient,2,8
Liam Jones,Fury Ancient,2,8
John Rodriguez,Fury Ancient,2,8
Urban Lion,Fury Ancient,2,9
Olivia Williams White,Fury Ancient,2,9
Sophia Garcia,Fury Ancient,2,9
Emma Garcia Nguyen,Fury Ancient,3,1
Fierce Lion,Fury Ancient,3,1
Luna Hernandez,Fury Ancient,3,1
James Anderson,Fury Ancient,3,2
Ethan Martinez,Fury Ancient,3,2
Rusty Rocket,Fury Ancient,3,3
Olivia Taylor,Fury Ancient,3,3
Logan Martinez Jr,Fury Ancient,3,4
James Jones,Fury Ancient,3,4
Amelia Garcia,Fury Ancient,3,4
Noah Thomas,Fury Ancient,3,5
Vivid River,Fury Ancient,3,5
Rapid Lion,Fury Ancient,3,5
Electric Canyon,Fury Ancient,3,5
James Anderson,Fury Ancient,3,6
Olivia Parker,Fury Ancient,3,6
Golden Jade,Fury Ancient,3,6
Lucas Miller,Fury Ancient,3,6
Amelia Davis,Fury Ancient,3,7
Mason Garcia,Golden Echo,1,1
Sophia Gonzalez,Golden Echo,1,1
Mason Garcia,Golden Echo,1,2
Rustic Gale,Golden Echo,1,2
Henry Taylor,Golden Echo,1,2
Dynamic Lion,Golden Echo,1,3
Mia Taylor Garcia,Golden Echo,1,3
Neon Spark,Golden Echo,1,3
Mystic Wolf,Golden Echo,1,4
Liam Smith,Golden Echo,1,4
Wild Shadow,Golden Echo,1,4
Logan Anderson,Golden Echo,1,5
Luna Thomas,Golden Echo,1,5
Olivia Miller Miller,Golden Echo,1,6
Solar Forge,Golden Echo,1,7
Prime Rebel,Golden Echo,1,7
Cinder Raven,Golden Echo,1,8
Luna Wilson,Golden Echo,1,8
James Miller Smith,Golden Echo,1,8
Sophia Brown,Golden Echo,1,9
Crimson Crest,Golden Echo,1,9
Cinder Spark,Golden Echo,1,9
Lunar Echo,Golden Echo,2,1
Dynamic Pulse,Golden Echo,2,2
Ivory Rocket,Golden Echo,2,2
Jack Martin Kim,Golden Echo,2,2
Mia Garcia,Golden Echo,2,2
Neon Crest,Golden Echo,2,3
Stormy Crest,Golden Echo,2,4
Ethan Wilson Garcia,Golden Echo,2,4
Ethan Davis,Golden Echo,2,4
Rapid Quest,Golden Echo,2,5
John Rodriguez,Golden Echo,2,5
Jack Martin Smith,Golden Echo,2,5
Mystic Wolf,Golden Echo,2,6
Mia Gonzalez,Golden Echo,2,6
Lucas Miller,Golden Echo,2,7
Liam Davis,Golden Echo,3,1
Henry Jackson,Golden Echo,3,1
Harper Garcia Kim,Golden Echo,3,2
Frozen Shadow,Golden Echo,3,2
Mia Davis,Golden Echo,3,3
Emma Rodriguez Johnson,Golden Echo,3,3
Ella Garcia Nguyen,Golden Echo,3,3
Mia Taylor,Golden Echo,3,4
Luna Taylor,Golden Echo,3,5
Emma Williams,Golden Echo,3,6
Mia Taylor,Golden Echo,3,6
Wild Reef,Golden Echo,3,6
Harper Jackson,Golden Echo,3,6
Amelia Hernandez,Golden Echo,3,7
Henry Brown White,Golden Echo,3,8
Lunar Specter,Golden Echo,3,8
Liam Jackson Jr,Golden Echo,3,8
Mia Johnson,Horizon Galaxy Secret,1,1
Blue Dancer,Horizon Galaxy Secret,1,1
Olivia Williams Johnson,Horizon Galaxy Secret,1,1
Eternal Path,Horizon Galaxy Secret,1,1
James Moore Johnson,Horizon Galaxy Secret,1,2
Swift Rider,Horizon Galaxy Secret,1,2
Mystic Jade,Horizon Galaxy Secret,1,2
Vivid River,Horizon Galaxy Secret,1,2
Lunar Brook,Horizon Galaxy Secret,1,3
Henry Gonzalez Johnson,Horizon Galaxy Secret,1,3
Dynamic Raven,Horizon Galaxy Secret,1,3
Logan Jackson,Horizon Galaxy Secret,1,3
Harper Garcia,Horizon Galaxy Secret,1,4
Prime Rebel,Horizon Galaxy Secret,1,4
Mia Lopez,Horizon Galaxy Secret,1,4
Henry Brown White,Horizon Galaxy Secret,1,5
Henry Taylor Johnson,Horizon Galaxy Secret,1,6
Liam Davis,Horizon Galaxy Secret,1,6
Mia Jones Garcia,Horizon Galaxy Secret,1,6
Crystal Crest,Horizon Galaxy Secret,1,6
Fierce Dancer,Horizon Galaxy Secret,1,7
Emma Miller,Horizon Galaxy Secret,1,7
Neon Spark,Horizon Galaxy Secret,1,8
Wild Dancer,Horizon Galaxy Secret,1,8
Logan Williams,Horizon Galaxy Secret,1,9
Olivia Wilson,Horizon Galaxy Secret,1,9
Logan Thomas,Horizon Galaxy Secret,1,9
James Thomas,Horizon Galaxy Secret,1,9
James Thomas,Horizon Galaxy Secret,1,10
Ethan Anderson,Horizon Galaxy Secret,1,10
Liam Garcia,Horizon Galaxy Secret,1,10
Blazing Phoenix,Horizon Galaxy Secret,1,10
Henry Brown White,Horizon Galaxy Secret,2,1
Swift Voyager,Horizon Galaxy Secret,2,1
Luna Anderson,Horizon Galaxy Secret,2,1
Emerald Voyager,Horizon Galaxy Secret,2,1
Luna Brown Garcia,Horizon Galaxy Secret,2,2
Amelia Thomas Jr,Horizon Galaxy Secret,2,3
Neon Reef,Horizon Galaxy Secret,2,3
Liam Davis,Horizon Galaxy Secret,2,3
Lucas Anderson,Horizon Galaxy Secret,2,3
Lunar Frost,Horizon Galaxy Secret,2,4
James Smith,Horizon Galaxy Secret,2,4
Frozen Rune,Horizon Galaxy Secret,2,4
Ultra Crest,Horizon Galaxy Secret,2,4
Rapid River,Horizon Galaxy Secret,2,5
Wild Gale,Horizon Galaxy Secret,2,5
Neon Rebel,Horizon Galaxy Secret,2,6
Crystal Whisper,Horizon Galaxy Secret,2,6
Neon Reef,Horizon Galaxy Secret,2,7
Amber Shade,Horizon Galaxy Secret,2,8
Emma Rodriguez Johnson,Golden Storm,1,1
Cinder Sage,Golden Storm,1,1
Liam Smith White,Golden Storm,1,1
Ethan Brown,Golden Storm,1,1
Harper Lopez,Golden Storm,1,2
Lucas Gonzalez Nguyen,Golden Storm,1,2
Frozen Dawn,Golden Storm,1,2
Swift Voyager,Golden Storm,1,3
Eternal Sage,Golden Storm,1,3
Jack Johnson,Golden Storm,1,4
Henry Brown Jr,Golden Storm,1,4
Sophia Brown,Golden Storm,1,4
Noah Smith,Golden Storm,1,5
Sophia Martinez Davis,Golden Storm,1,5
Liam Rodriguez,Golden Storm,1,6
John Taylor,Golden Storm,1,7
Harper Lopez,Golden Storm,1,8
Cinder Sage,Golden Storm,1,9
Luna Taylor Brown,Golden Storm,1,9
Liam Garcia Kim,Golden Storm,1,9
Luna Taylor,Golden Storm,1,10
Luna Brown,Golden Storm,1,10
Cinder Rocket,Golden Storm,1,11
Sophia Brown,Golden Storm,1,11
Eternal Sage,Golden Storm,2,1
Emma Garcia Nguyen,Golden Storm,2,2
John Smith,Golden Storm,2,2
Henry Brown White,Golden Storm,2,2
Olivia Lopez,Golden Storm,2,3
Onyx Viper,Golden Storm,2,4
Velvet Forge,Golden Storm,2,5
Fierce Specter,Golden Storm,2,5
Bronze Viper,Golden Storm,2,6
Urban Lion,Golden Storm,2,6
Rapid Echo,Golden Storm,2,6
Noah Moore Miller,Golden Storm,2,7
Olivia Miller,Golden Storm,2,8
Lucky Voyager,Golden Storm,2,9
Ivory Rider,Golden Storm,2,9
Emerald Whisper,Golden Storm,2,10
Sophia Smith,Golden Storm,2,10
Olivia Miller Miller,Past Crimson Hidden,1,1
Amber Bolt,Past Crimson Hidden,1,1
Ella Garcia,Past Crimson Hidden,1,1
Amelia Thomas Jr,Past Crimson Hidden,1,2
Rustic Gale,Past Crimson Hidden,1,2
Swift Voyager,Past Crimson Hidden,1,3
Liam Smith Jr,Past Crimson Hidden,1,4
Midnight Lion,Past Crimson Hidden,1,4
Urban Lion,Past Crimson Hidden,1,4
Emerald Path,Past Crimson Hidden,1,5
Mason Hernandez Johnson,Past Crimson Hidden,1,5
Emma Garcia Nguyen,Past Crimson Hidden,1,5
Liam Garcia Kim,Past Crimson Hidden,1,6
Mason Johnson,Past Crimson Hidden,1,7
Mia Martinez Garcia,Past Crimson Hidden,1,7
Vivid Jade,Past Crimson Hidden,1,7
Henry Jackson Smith,Past Crimson Hidden,1,7
James Taylor,Past Crimson Hidden,1,8
Jack Martin,Past Crimson Hidden,1,9
Jack Lopez Jr,Past Crimson Hidden,1,9
Turbo Knight,Past Crimson Hidden,1,9
Frozen Shadow,Past Crimson Hidden,1,9
Lucas Brown Jr,Past Crimson Hidden,1,10
Shadow Lion,Past Crimson Hidden,1,10
Frozen River,Past Crimson Hidden,1,10
Onyx Shade,Past Crimson Hidden,2,1
Henry Lopez Garcia,Past Crimson Hidden,2,1
Sophia Martinez Davis,Past Crimson Hidden,2,1
Solar Forge,Past Crimson Hidden,2,2
Logan Johnson Davis,Past Crimson Hidden,2,2
Luna Thomas,Past Crimson Hidden,2,2
Lunar Gale,Past Crimson Hidden,2,2
Amelia Miller,Past Crimson Hidden,2,3
Lucas Garcia,Past Crimson Hidden,2,4
Swift Pulse,Past Crimson Hidden,2,5
Neon Brook,Past Crimson Hidden,2,5
Crimson Dawn,Past Crimson Hidden,2,5
Sophia Martinez Davis,Past Crimson Hidden,2,5
Ava Martin,Past Crimson Hidden,2,6
Jack Wilson,Past Crimson Hidden,2,6
Olivia Jones,Past Crimson Hidden,2,6
Luna Hernandez,Past Crimson Hidden,2,7
Jack Lopez,Past Crimson Hidden,2,8
Emerald Pilot,Past Crimson Hidden,2,8
Olivia Martinez,Past Crimson Hidden,3,1
Wild Rebel,Past Crimson Hidden,3,1
James Miller,Past Crimson Hidden,3,2
Fierce Path,Past Crimson Hidden,3,2
Midnight Wolf,Past Crimson Hidden,3,2
Liam Martinez,Past Crimson Hidden,3,3
Crimson Phoenix,Past Crimson Hidden,3,4
Midnight Rider,Past Crimson Hidden,3,4
Mia Johnson Moore,Past Crimson Hidden,3,4
Olivia Wilson,Past Crimson Hidden,3,5
Eternal Nimbus,Past Crimson Hidden,3,5
Jack Lopez,Past Crimson Hidden,3,6
Noble Shadow,Past Crimson Hidden,3,7
Jack Martin,Past Crimson Hidden,3,8
Fierce Lion,Past Crimson Hidden,3,8
Mia Rodriguez,Past Crimson Hidden,3,9
Isabella Gonzalez,Past Crimson Hidden,3,9
John Rodriguez,Past Crimson Hidden,3,10
James Thomas,Past Crimson Hidden,3,10
Emma Garcia Jr,Past Crimson Hidden,4,1
Liam Davis Jr,Past Crimson Hidden,4,1
Ava Williams,Past Crimson Hidden,4,2
Ivory Pulse,Past Crimson Hidden,4,2
Emma Williams,Past Crimson Hidden,4,3
Noble Shadow,Past Crimson Hidden,4,4
Urban Dragon,Past Crimson Hidden,4,4
Ava Williams Davis,Past Crimson Hidden,4,5
Emma Jackson,Past Crimson Hidden,4,5
Ava Williams,Past Crimson Hidden,4,5
Phantom Hawk,Past Crimson Hidden,4,5
Cosmic Rocket,Past Crimson Hidden,4,6
Royal Sage,Hidden Future,1,1
Ava Brown,Hidden Future,1,1
Luna Wilson,Hidden Future,1,2
Harper Taylor,Hidden Future,1,2
Luna Brown,Hidden Future,1,2
Electric Echo,Hidden Future,1,2
Electric Token,Hidden Future,1,3
James Moore,Hidden Future,1,4
Lucas Brown,Hidden Future,1,4
James Garcia,Hidden Future,1,4
Isabella Lopez,Hidden Future,1,5
Sophia Hernandez,Hidden Future,1,5
John Anderson,Hidden Future,1,5
Mason Garcia,Hidden Future,1,5
Electric Token,Hidden Future,1,6
Swift Token,Hidden Future,1,7
Liam Taylor,Hidden Future,1,7
Lunar Nimbus,Hidden Future,1,7
Crimson Phoenix,Hidden Future,1,7
Liam Jackson Jr,Hidden Future,2,1
James Moore Johnson,Hidden Future,2,2
Crimson Phoenix,Hidden Future,2,2
Noah Wilson,Hidden Future,2,2
Olivia Wilson Moore,Hidden Future,2,3
Lucky Voyager,Hidden Future,2,3
Jack Martin,Hidden Future,2,4
Liam Johnson,Hidden Future,2,4
Crimson Forge,Hidden Future,2,4
Prime Rebel,Hidden Future,2,5
Ultra Bolt,Hidden Future,2,5
Jack Williams,Hidden Future,2,5
Midnight Lion,Hidden Future,2,5
Olivia Anderson,Hidden Future,2,6
Luna Anderson White,Hidden Future,3,1
Noah Smith,Hidden Future,3,1
Neon Crest,Hidden Future,3,2
Ethan Miller,Hidden Future,3,2
Royal Sage,Hidden Future,3,2
Amelia Thomas,Hidden Future,3,3
Ella Martinez,Hidden Future,3,4
Lunar Wolf,Hidden Future,3,5
Amelia Hernandez,Hidden Future,3,6
Dynamic Raven,Hidden Future,3,6
Isabella Anderson,Hidden Future,3,6
Henry Lopez Garcia,Hidden Future,3,7
Harper Martin,Hidden Future,3,7
Jack Wilson Garcia,Hidden Future,3,7
Mason Jackson,Hidden Future,3,7
Royal Shade,Hidden Future,3,8
Blue Dancer,Hidden Future,4,1
Luna Taylor,Hidden Future,4,1
Luna Jones Jr,Hidden Future,4,2
Frozen Specter,Hidden Future,4,2
Vivid Frost,Hidden Future,4,2
Jack Martin Kim,Hidden Future,4,3
Jack Wilson,Hidden Future,4,4
Harper Garcia Davis,Hidden Future,4,4
Swift Token,Hidden Future,4,4
Ella Anderson,Hidden Future,4,4
Radiant Viper,Hidden Future,4,5
Ella Garcia Davis,Hidden Future,4,6
Logan Moore,Hidden Future,4,7
Henry Williams,Hidden Future,4,7
Swift Crest,Hidden Future,4,8
Olivia Lopez,Hidden Future,4,8
Electric Token,Hidden Future,4,8
Henry Thomas Jr,Hidden Future,4,8
Jack Thomas,Hidden Future,4,9
Emerald Blaze,Hidden Future,4,9
Isabella Jackson,Hidden Future,4,9
Aero Dragon,Hidden Future,4,9
Cinder Raven,Wild Horizon Future,1,1
Royal Sage,Wild Horizon Future,1,2
Logan Williams,Wild Horizon Future,1,3
Fierce Comet,Wild Horizon Future,1,3
Isabella Johnson,Wild Horizon Future,1,3
Lucas Gonzalez Johnson,Wild Horizon Future,1,3
Olivia Taylor Davis,Wild Horizon Future,1,4
Cinder Raven,Wild Horizon Future,1,5
Ella Moore,Wild Horizon Future,1,5
James Jones,Wild Horizon Future,1,5
Mia Jones,Wild Horizon Future,1,5
Silent Shade Jr,Wild Horizon Future,1,6
Shadow Lion,Wild Horizon Future,1,6
Mia Gonzalez,Wild Horizon Future,1,6
Olivia Bones,Wild Horizon Future,1,6
Mia Rodriguez,Wild Horizon Future,1,7
Frozen Specter,Wild Horizon Future,1,7
Golden Pulse,Wild Horizon Future,1,7
Emerald Pilot,Wild Horizon Future,1,7
Mason Hernandez,Wild Horizon Future,1,8
Silent Shade,Wild Horizon Future,1,8
Lucas Brown Jr,Wild Horizon Future,1,8
Henry Martin,Wild Horizon Future,1,9
Sophia Lopez,Wild Horizon Future,1,9
Luna Martinez,Wild Horizon Future,1,9
Velvet Falcon,Wild Horizon Future,1,9
Ethan Hernandez,Wild Horizon Future,2,1
Mia Williams,Wild Horizon Future,2,2
Ivory Rider,Wild Horizon Future,2,3
Liam Smith White,Wild Horizon Future,2,3
Crimson Phoenix,Wild Horizon Future,2,4
Mia Jackson,Wild Horizon Future,2,4
Vivid River,Wild Horizon Future,2,5
Luna Anderson White,Wild Horizon Future,2,5
Stormy River,Wild Horizon Future,2,6
Dynamic Lion,Wild Horizon Future,2,6
Henry Lopez,Wild Horizon Future,2,6
Mia Garcia,Wild Horizon Future,2,6
Harper Anderson,Wild Horizon Future,2,7
Midnight Rider,Wild Horizon Future,2,8
Mia Jones Garcia,Wild Horizon Future,2,8
Liam Garcia Johnson,Wild Horizon Future,2,9
Olivia Lopez Jr,Wild Horizon Future,2,9
Mia Hernandez,Wild Horizon Future,2,9
Vivid Jade,Wild Horizon Future,2,9
Scarlet Rose,Wild Horizon Future,3,1
Lucas Anderson,Wild Horizon Future,3,1
Onyx Shade,Wild Horizon Future,3,1
Olivia Taylor,Wild Horizon Future,3,2
Ethan Jackson Jr,Wild Horizon Future,3,3
Urban Lion,Wild Horizon Future,3,3
Ella Moore Johnson,Wild Horizon Future,3,4
Liam Davis Jr,Wild Horizon Future,3,4
Crystal Comet,Wild Horizon Future,3,4
Mystic Wolf,Wild Horizon Future,3,5
Ultra Bolt,Wild Horizon Future,3,5
Prime Shadow,Wild Horizon Future,3,6
Ella Johnson,Wild Horizon Future,3,6
Ethan Martinez,Wild Horizon Future,3,6
Mia Martinez,Wild Horizon Future,3,6
Frost River,Shadow Golden Eternal,1,1
Noble Shadow,Shadow Golden Eternal,1,1
Amelia Thomas Jr,Shadow Golden Eternal,1,1
Sophia Hernandez,Shadow Golden Eternal,1,1
Luna Wilson,Shadow Golden Eternal,1,2
Olivia Parker,Shadow Golden Eternal,1,2
Swift Pulse,Shadow Golden Eternal,1,2
John Martin,Shadow Golden Eternal,1,3
Ethan Martinez,Shadow Golden Eternal,1,3
Neon Spark,Shadow Golden Eternal,1,3
Prime Shadow,Shadow Golden Eternal,1,4
Mason Hernandez,Shadow Golden Eternal,1,4
Jack Williams Davis,Shadow Golden Eternal,1,5
Olivia Martinez,Shadow Golden Eternal,1,5
Noah Martinez Kim,Shadow Golden Eternal,1,6
Bronze Raven,Shadow Golden Eternal,1,7
Emma Williams,Shadow Golden Eternal,1,7
Mia Jones Garcia,Shadow Golden Eternal,1,7
Lunar Nimbus,Shadow Golden Eternal,1,7
Liam Rodriguez,Shadow Golden Eternal,1,8
Lucky Knight,Shadow Golden Eternal,1,8
Mason Miller,Shadow Golden Eternal,1,9
Olivia Brown,Shadow Golden Eternal,1,9
Emerald Rider,Shadow Golden Eternal,1,9
Noah Johnson Davis,Shadow Golden Eternal,1,9
Isabella Anderson,Shadow Golden Eternal,1,10
Ella Lopez,Shadow Golden Eternal,1,10
Mia Lopez,Shadow Golden Eternal,1,10
Harper Taylor Jr,Legends Whispers,1,1
Lucas Brown Jr,Legends Whispers,1,2
Olivia Williams Johnson,Legends Whispers,1,2
Dynamic Lion,Legends Whispers,1,3
Ivory Knight,Legends Whispers,1,3
Emma Garcia Jr,Legends Whispers,1,4
Eternal Path,Legends Whispers,1,4
Lucas Williams,Legends Whispers,1,4
Noah Wilson,Legends Whispers,1,4
Logan Martin,Legends Whispers,1,5
Ivory Knight,Legends Whispers,1,5
Swift Crest,Legends Whispers,1,5
Amelia Davis,Legends Whispers,1,6
Harper Lopez,Legends Whispers,1,6
Emma Miller,Legends Whispers,1,7
Eternal Path,Legends Whispers,1,7
Harper Anderson,Legends Whispers,1,8
Velvet Brook,Legends Whispers,1,8
Emerald Pilot,Legends Whispers,1,8
Sophia Williams,Legends Whispers,1,9
Cinder Rocket,Legends Whispers,2,1
Frozen Rune,Legends Whispers,2,1
Liam Garcia,Legends Whispers,2,1
Henry Martin,Legends Whispers,2,2
Mia Rodriguez Brown,Legends Whispers,2,3
Harper Brown Nguyen,Legends Whispers,2,4
Emma Jackson,Legends Whispers,2,4
Henry Jackson,Legends Whispers,2,4
Silent Storm,Legends Whispers,2,4
Olivia Williams Johnson,Legends Whispers,2,5
Jack Lopez,Legends Whispers,2,5
Ethan Anderson,Legends Whispers,2,5
Olivia Jones,Legends Whispers,2,5
Wild Shadow,Legends Whispers,2,6
Dynamic Lion,Legends Whispers,2,7
Crystal Tiger,Legends Whispers,2,7
Rustic Gale,Legends Whispers,2,7
Stormy Crest,Legends Whispers,2,7
Mason Wilson,Legends Whispers,2,8
Lucas Gonzalez Nguyen,Legends Whispers,2,8
Wild Rebel,Legends Whispers,2,8
Noah Williams,Legends Whispers,2,8
Iron Whisper,Legends Whispers,3,1
Jack Johnson,Legends Whispers,3,2
Fierce Gale,Legends Whispers,3,3
Liam Johnson,Legends Whispers,3,4
Wild Whisper,Legends Whispers,3,5
Radiant Viper,Legends Whispers,3,5
Lunar Shadow,Legends Whispers,3,5
Amelia Miller,Legends Whispers,3,6
Silent Shade Jr,Legends Whispers,3,6
Luna Jackson,Legends Whispers,3,6
Phantom Whisper,Legends Whispers,3,7
Emma Gonzalez,Legends Whispers,3,7
Crimson Rune,Legends Whispers,3,7
Noble Shadow,Legends Whispers,3,7
Onyx Pilot,Legends Whispers,3,8
Sophia Hernandez,Legends Whispers,3,8
Olivia Williams Johnson,Legends Whispers,3,8
Prime Gale,Legends Whispers,3,8
Shadow Quest,Legends Whispers,3,9
Iron Echo,Legends Whispers,4,1
Sophia Garcia Jr,Legends Whispers,4,1
Rapid Quest,Legends Whispers,4,2
Liam Davis Jr,Legends Whispers,4,2
Wild Dancer,Legends Whispers,4,3
Henry Jackson,Legends Whispers,4,3
Jack Lopez,Legends Whispers,4,3
Lucas Williams,Legends Whispers,4,3
Harper Martin,Legends Whispers,4,4
Wild Reef,Legends Whispers,4,4
